name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Earl Ferrers,Lambeth,,100000000000,E09000022,St. Leonard's,E05000428,22 Ellora Road,Lambeth,,529923.000122197,171068.00012159348,-0.1311396905359036,51.423219013768936,11/27/2022
Teddington Arms,Richmond Upon Thames,www.teddingtonarms.com,100000000000,E09000027,Teddington,E05000530,38-40 High Street,Richmond Upon Thames,,516073.0001221001,171105.00012169778,-0.3302547269760539,51.42655792305218,11/27/2022
Landmark Arts Centre,Richmond Upon Thames,http://www.landmarkartscentre.org/,0,E09000027,Teddington,E05000530,Ferry Road Teddington Tw11 9nn ,,,516583.24810799956,171233.3414912969,-0.3228757841007884,51.42760679520111,11/27/2022
Tooting Tram & Social,Wandsworth,www.tootingtram.com,121014162,E09000032,Graveney,E05000616,Mitcham Road Wandsworth,,,527553.000122197,171347.00012159348,-0.16511122478466092,51.42626508501076,11/27/2022
Graveney & Meadow,Wandsworth,www.graveneyandmeadow.com,121014087,E09000032,Graveney,E05000616,40 Mitcham Road,Wandsworth,,527531.000122197,171362.00012159348,-0.16542212662482547,51.426404857140284,11/27/2022
The Hideaway,Lambeth,http://www.hideawaylive.co.uk/,100000000000,E09000022,St. Leonard's,E05000428,2 Empire Mews,Lambeth,,530075.000122197,171391.00012159348,-0.12883592065378363,51.42608721148074,11/27/2022
The Red Lion,Richmond Upon Thames,www.theredlionteddington.com,100000000000,E09000027,Fulwell And Hampton Hill,E05000518,164 Stanley Road,Richmond Upon Thames,,515138.0001221001,171507.00012169778,-0.34356823219120175,51.43036221484821,11/27/2022
St. Bartholomews Church,Lewisham,www.stbartschurchsydenham.org,100000000000,E09000023,Sydenham,E05000452,4 Westwood Hill,Lewisham,,535178.000122197,171623.00012159348,-0.055383930971276134,51.42697790425422,11/27/2022
Pratts & Payne,Lambeth,,200000000000,E09000022,St. Leonard's,E05000428,103 Streatham High Road,Lambeth,,530123.000122197,171786.00012159348,-0.12800070848369863,51.42962637712314,11/27/2022
The White Lion,Lambeth,www.whitelionsw16.co.uk,100000000000,E09000022,St. Leonard's,E05000428,234 Streatham High Road,Lambeth,,530108.000122197,171839.00012159348,-0.12819690928973326,51.43010617605136,11/27/2022
The Portico Gallery,Lambeth,,200000000000,E09000022,Knight's Hill,E05000424,23 Knights Hill,Lambeth,,531892.000122197,171929.00012159348,-0.10251284016002114,51.430502564191016,11/27/2022
Baring Hall,Lewisham,www.baringhallhotel.com,100000000000,E09000023,Downham,E05000442,368 Baring Road,Lewisham,,540591.000122197,172146.00012149662,0.02264175924658818,51.430360908077226,11/27/2022
Maestro Arts & Entertainment Centre,Lewisham,,10023230557,E09000023,Forest Hill,E05000444,Regent House Business Centre 291,Kirkdale,Lewisham,534931.000122197,172199.00012159348,-0.05871552960888348,51.43221354841626,11/27/2022
The Alma,Bexley,,100000000000,E09000004,Sidcup,E05011230,10 Alma Road,Bexley,,546339.0001222938,172450.00012139976,0.10540335437422388,51.43163733178351,11/27/2022
The Prince Of Wales,Richmond Upon Thames,,100000000000,E09000027,West Twickenham,E05000532,136 Hampton Road,Richmond Upon Thames,,514903.0001221001,172464.00012169778,-0.34663695206949446,51.43901226608248,11/27/2022
Five Bells,Lambeth,www.fivebellspub.co.uk,100000000000,E09000022,St. Leonard's,E05000428,68-70 Streatham High Road,Lambeth,,530193.000122197,172472.00012159348,-0.1267420112600511,51.4357759267529,11/27/2022
Porky's Wine Bar,Lambeth,,100000000000,E09000022,Streatham Hill,E05000430,23-27 Sternhold Avenue,Lambeth,,530209.000122197,172727.00012159348,-0.12641813770445587,51.43806413590021,11/27/2022
The Prince Albert,Richmond Upon Thames,www.princealberttwickenham.co.uk,100000000000,E09000027,West Twickenham,E05000532,30 Hampton Road,Richmond Upon Thames,,515168.0001221001,172764.00012169778,-0.3427279046045202,51.441655090075976,11/27/2022
The White Hart,Lambeth,www.whitehart-tulsehill.com,100000000000,E09000022,Thurlow Park,E05000434,367 Norwood Road,Lambeth,,531741.000122197,172917.00012159348,-0.10431631523812282,51.43941752651381,11/27/2022
The Railway Tavern,Lambeth,www.therailwaytulsehill.co.uk,100000000000,E09000022,Thurlow Park,E05000434,7 Station Rise,Lambeth,,531776.000122197,172942.00012159348,-0.10380367267612986,51.43963407585729,11/27/2022
Sussex Arms,Richmond Upon Thames,www.thesussexarmstwickenham.co.uk,100000000000,E09000027,West Twickenham,E05000532,42309 Staines Road,Richmond Upon Thames,,515054.0001221001,172973.00012169778,-0.3442996821674053,51.44355692983075,11/27/2022
The Bedford,Wandsworth,www.thebedford.com,100000000000,E09000032,Balham,E05000610,77 Bedford Hill,Wandsworth,,528719.000122197,173145.00012159348,-0.147693672113548,51.44216166191894,11/27/2022
The Windmill,Lewisham,www.windmillbrixton.co.uk,100000000000,E09000023,Perry Vale,E05000450,22 Blenheim Gardens,Lambeth,,535607.000122197,173195.00012159348,-0.04861428385435728,51.44100357201525,11/27/2022
Hagen & Hyde,Wandsworth,www.hagenandhyde.com,121049927,E09000032,Balham,E05000610,157 Balham High Road,Wandsworth,,528524.000122197,173268.00012159348,-0.1504535389206698,51.443311463822546,11/27/2022
Fox,Richmond Upon Thames,www.thefoxtwickenham.co.uk,100000000000,E09000027,Twickenham Riverside,E05000531,39 Church Street,Richmond Upon Thames,,516353.0001221001,173289.00012169778,-0.3255108671826069,51.446131951089285,11/27/2022
Riva Lounge,Lewisham,,100000000000,E09000023,Rushey Green,E05000451,3 Bromley Road,Lewisham,,537698.000122197,173509.00012149662,-0.018421803329134602,51.44332101798433,11/27/2022
Patchworks,Richmond Upon Thames,www.cabbagepatch.co.ukwhats-on,100000000000,E09000027,Twickenham Riverside,E05000531,67 London Road,Richmond Upon Thames,,516146.0001221001,173525.00012169778,-0.3284110573252392,51.448295797642444,11/27/2022
Kings Head,Bexley,www.kingsheadbexley.co.uk,200000000000,E09000004,St. Mary's & St. James,E05011229,65 Bexley High Street,Bexley,,549512.0001222938,173618.00012139976,0.151512868654187,51.441304812752755,11/27/2022
Nuvo Lounge,Lewisham,,10070773731,E09000023,Rushey Green,E05000451,177 Rushey Green,Lewisham,,537732.000122197,173627.00012149662,-0.01788690499930063,51.4443732400631,11/27/2022
The Broadway Theatre,Lewisham,www.broadwaytheatre.org.uk,10091912968,E09000023,Rushey Green,E05000451,Old Town Hall Rushey Green,Lewisham,,537604.000122197,173658.00012149662,-0.019715725886634575,51.44468296246623,11/27/2022
Crown,Richmond Upon Thames,www.crowntwickenham.co.uk,100000000000,E09000027,Twickenham Riverside,E05000531,174 Richmond Road,Richmond Upon Thames,,516928.0001221001,173808.00012169778,-0.3170680644718304,51.4506786369488,11/27/2022
Black Horse,Bexley,,100000000000,E09000004,St. Mary's & St. James,E05011229,63 Albert Road,Bexley,,549509.0001222938,173953.00012139976,0.15161125419255556,51.4443159981393,11/27/2022
St Stephen's Church,Richmond Upon Thames,https://www.st-stephens.org.uk/,0,E09000027,Twickenham Riverside,E05000531,Richmond Road East Twickenham Middlesex Tw1 2pd ,,,517323.4318847954,174006.7916865945,-0.3113133714183057,51.452383697123835,11/27/2022
Marlborough,Richmond Upon Thames,www.themarlboroughrichmond.co.uk,100000000000,E09000027,South Richmond,E05000528,46 Friars Stile Road,Richmond Upon Thames,,518435.0001221001,174277.00012169778,-0.29523118104337664,51.454581022961165,11/27/2022
Florence,Lambeth,www.florencehernehill.com,100000000000,E09000022,Herne Hill,E05000423,131-133 Dulwich Road,Lambeth,,531906.000122197,174350.00012159348,-0.10140923167868231,51.45225842441877,11/27/2022
Lord Northbrook,Lewisham,www.thelordnorthbrook.co.uk,100000000000,E09000023,Lee Green,E05000447,116 Burnt Ash Road,Lewisham,,539911.000122197,174356.00012149662,0.013738899789978375,51.45039060577953,11/27/2022
Gigalum,Lambeth,www.gigalum.com,200000000000,E09000022,Clapham Common,E05000418,42954 Cavendish Parade,Clapham Common South Side,Lambeth,528890.000122197,174370.00012159348,-0.14478802878739716,51.4531329092716,11/27/2022
Eltham Gpo,Greenwich,www.elthamgpo.com,100000000000,E09000011,Eltham South,E05000219,4 Passey Place,Greenwich,,542803.0001222938,174373.00012149662,0.05534181645296188,51.449821314140365,11/27/2022
Off The Cuff,Lambeth,www.offthecuffbar.com,100000000000,E09000022,Herne Hill,E05000423,301-303 Railton Road,Lambeth,,531968.000122197,174374.00012159348,-0.1005084062047203,51.45245967777206,11/27/2022
The White Horse,Lambeth,,100000000000,E09000022,Brixton Hill,E05000417,94 Brixton Hill,Lambeth,,530715.000122197,174546.00012159348,-0.11846948404168565,51.454296279555344,11/27/2022
Herne Tavern,Southwark,www.thehernetavern.co.uk,200000000000,E09000028,Dulwich Hill,E05011099,2 Forest Hill Road,Southwark,,534669.000122197,174571.00012159348,-0.06158002254864555,51.453594112934965,11/27/2022
